DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs anorexia nervosa (ordinary least squares (OLS))	19,099 ADHD cases, 16,992 anorexia nervosa cases	NA	1p21.3	1	96469305		EEF1A1P11 - RN7SL831P	ENSG00000228502	ENSG00000241992		20987	113904	rs12755914-?	rs12755914	0	12755914	regulatory_region_variant	1	NR	7E-9	8.154901959985743		0.0206	NR unit increase	NR [5496413] (imputed)	N	attention deficit hyperactivity disorder, anorexia nervosa	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005351	GCST90016595	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs anorexia nervosa (ordinary least squares (OLS))	19,099 ADHD cases, 16,992 anorexia nervosa cases	NA	2q32.1	2	184138194		CACYBPP2 - MIR548AE1	ENSG00000177855	ENSG00000266808		530075	240781	rs62176532-?	rs62176532	0	62176532	intron_variant	1	NR	1E-8	8.0		0.0203	NR unit increase	NR [5496413] (imputed)	N	attention deficit hyperactivity disorder, anorexia nervosa	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005351	GCST90016595	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs anorexia nervosa (ordinary least squares (OLS))	19,099 ADHD cases, 16,992 anorexia nervosa cases	NA	5q21.2	5	104451467		NIHCOLE - RNU6-334P	ENSG00000251026	ENSG00000252881		45346	328821	rs147831713-?	rs147831713	0	147831713	intron_variant	1	NR	3E-10	9.522878745280337		0.0225	NR unit increase	NR [5496413] (imputed)	N	attention deficit hyperactivity disorder, anorexia nervosa	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005351	GCST90016595	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs anorexia nervosa (ordinary least squares (OLS))	19,099 ADHD cases, 16,992 anorexia nervosa cases	NA	16q22.2	16	72475596		LINC01572			ENSG00000261008			rs35999374-?	rs35999374	0	35999374	intron_variant	0	NR	3E-9	8.522878745280337		0.0211	NR unit increase	NR [5496413] (imputed)	N	attention deficit hyperactivity disorder, anorexia nervosa	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005351	GCST90016595	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs obsessive compulsive disorder (ordinary least squares (OLS))	19,099 ADHD cases, 2,688 OCD cases	NA	4q24	4	102699228		MANBA			ENSG00000109323			rs227378-?	rs227378	0	227378	intron_variant	0	NR	2E-8	7.698970004336019		0.0235	NR unit decrease	NR [5627061] (imputed)	N	obsessive-compulsive disorder, attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888	GCST90016597	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	ADHD vs obsessive compulsive disorder (ordinary least squares (OLS))	19,099 ADHD cases, 2,688 OCD cases	NA	18q12.3	18	41672373		KC6 - NPM1P1	ENSG00000267313	ENSG00000267652		40188	116789	rs9961367-?	rs9961367	0	9961367	intergenic_variant	1	NR	2E-8	7.698970004336019		0.0237	NR unit increase	NR [5627061] (imputed)	N	obsessive-compulsive disorder, attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888	GCST90016597	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	Bipolar disorder vs ADHD (ordinary least squares (OLS))	20,352 bipolar disorder cases, 19,099 ADHD cases	NA	1p32.1	1	60638487		LINC01748			ENSG00000226476			rs571017-?	rs571017	0	571017	intron_variant	0	NR	4E-9	8.397940008672037		0.0207	NR unit increase	NR [5637374] (imputed)	N	attention deficit hyperactivity disorder, bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	GCST90016604	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	Bipolar disorder vs ADHD (ordinary least squares (OLS))	20,352 bipolar disorder cases, 19,099 ADHD cases	NA	2q24.3	2	165295879		SCN2A			ENSG00000136531			rs17183814-?	rs17183814	0	17183814	splice_acceptor_variant	0	NR	7E-11	10.154901959985743		0.0229	NR unit decrease	NR [5637374] (imputed)	N	attention deficit hyperactivity disorder, bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	GCST90016604	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	Bipolar disorder vs ADHD (ordinary least squares (OLS))	20,352 bipolar disorder cases, 19,099 ADHD cases	NA	3p22.2	3	36814539		HSPD1P6 - LINC02033	ENSG00000230067	ENSG00000279727		30372	4737	rs9834970-?	rs9834970	0	9834970	regulatory_region_variant	1	NR	6E-12	11.221848749616356		0.0242	NR unit increase	NR [5637374] (imputed)	N	attention deficit hyperactivity disorder, bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	GCST90016604	Genome-wide genotyping array
2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	Bipolar disorder vs ADHD (ordinary least squares (OLS))	20,352 bipolar disorder cases, 19,099 ADHD cases	NA	4q27	4	122589611		IL2 - IL21	ENSG00000109471	ENSG00000138684		132886	20497	rs6829845-?	rs6829845	0	6829845	regulatory_region_variant	1	NR	1E-8	8.0		0.0199	NR unit decrease	NR [5637374] (imputed)	N	attention deficit hyperactivity disorder, bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	GCST90016604	Genome-wide genotyping array
