DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY			SEQUENCE	CHANGE
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	"15-year breast cancer-specific survival (ER positive, PR positive, and HER2 negative)"	"35,550 European ancestry individuals"	NA	15q23	15	71344902		THSD4			ENSG00000187720			rs8030394-?	rs8030394	0	8030394	intron_variant	0	NR	1E-8	8		2.47	[1.81-3.37]	NR [10000000] (imputed)	N	"survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0009780, http://www.ebi.ac.uk/efo/EFO_0009782"	GCST90029047	Genome-wide genotyping array				
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	"15-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative treated with chemotherapy)"	"10,394 European ancestry individuals"	NA	2q36.3	2	229507632		DNER			ENSG00000187957			rs62192052-?	rs62192052	0	62192052	intron_variant	0	NR	3E-9	8.522878745280337		0.15	[0.08-0.28]	NR [10000000] (imputed)	N	"survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent"	"http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0009780, http://www.ebi.ac.uk/efo/EFO_0009782, http://purl.obolibrary.org/obo/GO_0097327"	GCST90029048	Genome-wide genotyping array				
4/28/2016	25964295	Khan S	5/11/2015	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/25964295	Polymorphism at 19q13.41 Predicts Breast Cancer Survival Specifically after Endocrine Therapy.	Survival in endocrine treated breast cancer (estrogen-receptor positive)	"352 European ancestry cases with endocrine therapy, 254 European ancestry cases without endocrine therapy, 597 European ancestry controls"	"3,330 European ancestry cases with endocrine therapy, 42 European ancestry cases without endocrine therapy, 1,351 European ancestry controls"	19q13.41	19	51942133	ZNF613	ZNF613			ENSG00000176024			rs8113308-G	rs8113308	0	8113308	intron_variant	0	0.152	6E-7	6.221848749616356		1.69	[1.37-2.07]	Illumina [486478]	N	"survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy"	"http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007613"	GCST002901	Genome-wide genotyping array				
3/27/2019	28864454	Lacson JCA	9/1/2017	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/28864454	Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.	Breast cancer (progesterone-receptor positive)	"1,049 cases, 1,310 controls"	NA	10q26.13	10	121577821	FGFR2	FGFR2			ENSG00000066468			rs2981579-T	rs2981579	0	2981579	intron_variant	0	NR	5E-7	6.301029995663981		1.23		Illumina [129771]	N	progesterone-receptor negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0009781	GCST007420	Exome genotyping array [Exome array]				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced proteinuria	"1,039 European ancestry individuals"	NA	5p15.2	5	14017958	intergenic	DNAH5 - TRIO	ENSG00000039139	ENSG00000038382		6140	125384	rs339947-A	rs339947	0	339947	intergenic_variant	1	0.14	2E-7	6.698970004336019		1.26	[0.79-1.73] unit increase	Illumina [828141]	N	"response to bevacizumab, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026610	Genome-wide genotyping array				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced proteinuria	"1,039 European ancestry individuals"	NA	12q15	12	68429335	intergenic	LINC02384			ENSG00000251301			rs7959783-?	rs7959783	0	7959783	intron_variant	0	0.26	7E-6	5.154901959985743		0.73	[0.42-1.04] unit increase	Illumina [828141]	N	"response to bevacizumab, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026610	Genome-wide genotyping array				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced proteinuria	"1,039 European ancestry individuals"	NA	2p21	2	44675221	C2orf34	CAMKMT			ENSG00000143919			rs12612153-?	rs12612153	0	12612153	intron_variant	0	0.11	7E-6	5.154901959985743		1.15	[0.64-1.66] unit increase	Illumina [828141]	N	"response to bevacizumab, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026610	Genome-wide genotyping array				
10/20/2021	34616010	Quintanilha JCF	10/6/2021	Br J Cancer	www.ncbi.nlm.nih.gov/pubmed/34616010	Bevacizumab-induced hypertension and proteinuria: a genome-wide study of more than 1000 patients.	Bevacizumab-induced proteinuria	"1,039 European ancestry individuals"	NA	1p31.3	1	64905735	JAK1	JAK1			ENSG00000162434			rs4916009-?	rs4916009	0	4916009	intron_variant	0	0.09	9E-6	5.045757490560675		1.24	[0.69-1.79] unit increase	Illumina [828141]	N	"response to bevacizumab, Proteinuria"	"http://www.ebi.ac.uk/efo/EFO_0005943, http://purl.obolibrary.org/obo/HP_0000093"	GCST90026610	Genome-wide genotyping array				
10/22/2021	34407845	Morra A	8/18/2021	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/34407845	Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.	15-year breast cancer-specific survival (ER positive treated with endocrine therapy)	"30,137 European ancestry individuals"	NA	3q25.2	3	155285814		LINC01487 - STRIT1	ENSG00000241336	ENSG00000240045		27048	4413	rs4679741-?	rs4679741	0	4679741	intergenic_variant	1	NR	2E-7	6.698970004336019		1.18	[1.11-1.26]	NR [10000000] (imputed)	N	"survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy"	"http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007613"	GCST90029045	Genome-wide genotyping array				
12/14/2018	30323354	Lee JY	10/15/2018	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	"BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts."	BRCA1/2-negative high-risk breast cancer	"1,469 Korean ancestry cases, 5,979 Korean ancestry controls"	NA	3q25.1	3	150755819	SIAH2	SIAH2			ENSG00000181788			rs60538652-A	rs60538652	0	60538652	intron_variant	0	0.65	6E-7	6.221848749616356		1.26	[1.15-1.38]	"Affymetrix, Illumina [3378933] (imputed)"	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array				
