DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Post-traumatic stress disorder	1,698 Peruvian cases, 1,716 Peruvian controls	NA	2q37.1	2	234236143	NR	SPP2 - RPS20P12	ENSG00000072080	ENSG00000237784		159009	93340	rs4663116-?	rs4663116	0	4663116	intergenic_variant	1	NR	7E-6	5.154901959985743		1.2540758	[NR]	NR [3389129] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST009977	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Post-traumatic stress disorder	1,698 Peruvian cases, 1,716 Peruvian controls	NA	6p21.2	6	37534090	NR	LINC02520			ENSG00000204110			rs1541227-G	rs1541227	0	1541227	intron_variant	0	NR	3E-6	5.522878745280337		1.362	[NR]	NR [3389129] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST009977	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Post-traumatic stress disorder	1,698 Peruvian cases, 1,716 Peruvian controls	NA	8q24.13	8	126235667	NR	LINC00861			ENSG00000245164			rs9297733-G	rs9297733	0	9297733	intron_variant	0	NR	5E-6	5.301029995663981		1.252	[NR]	NR [3389129] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST009977	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Post-traumatic stress disorder	1,698 Peruvian cases, 1,716 Peruvian controls	NA	10p15.1	10	6129672	NR	RBM17 - PFKFB3	ENSG00000134453	ENSG00000170525		12215	15262	rs5014463-?	rs5014463	0	5014463	intergenic_variant	1	NR	5E-6	5.301029995663981		1.3347571	[NR]	NR [3389129] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST009977	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	1q42.2	1	232308709	SIPA1L2	RN7SL299P - SIPA1L2	ENSG00000242794	ENSG00000116991		85564	89256	rs9725031-?	rs9725031	0	9725031	intergenic_variant	1	NR	8E-6	5.096910013008056		1.13	[0.64-1.62] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	3p24.3	3	20042389	KAT2B	KAT2B			ENSG00000114166			rs1915919-?	rs1915919	0	1915919	intron_variant	0	NR	8E-6	5.096910013008056		0.74	[0.43-1.05] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	7q36.2	7	154801156	DPP6	DPP6			ENSG00000130226			rs71534169-?	rs71534169	0	71534169	intron_variant	0	NR	4E-6	5.3979400086720375		1.63	[0.94-2.32] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	8p22	8	12977091	KIAA1456	TRMT9B			ENSG00000250305			rs2460905-?	rs2460905	0	2460905	intron_variant	0	NR	5E-6	5.301029995663981		1.38	[0.79-1.97] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	8q24.22	8	130795923	ADCY8	ADCY8			ENSG00000155897			rs263232-?	rs263232	0	263232	intron_variant	0	NR	6E-7	6.221848749616356		1.43	[0.88-1.98] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	11q14.2	11	88216364	MIR3166	MIR3166 - CTSC	ENSG00000266581	ENSG00000109861		39771	48705	rs682457-?	rs682457	0	682457	intergenic_variant	1	NR	1E-6	6.0		1.11	[0.68-1.54] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2014-10-23	24677629	Wolf EJ	2014-03-27	Depress Anxiety	www.ncbi.nlm.nih.gov/pubmed/24677629	A genome-wide association study of clinical symptoms of dissociation in a trauma-exposed sample.	Post-traumatic stress disorder	484 European ancestry trauma-exposed individuals	NA	15q25.2	15	81901505	MEX3B	TMC3-AS1 - MEX3B	ENSG00000259343	ENSG00000183496		383305	140273	rs77963519-?	rs77963519	0	77963519	intron_variant	1	NR	4E-6	5.3979400086720375		1.56	[0.91-2.21] unit increase	Illumina [1197702]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002401	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	20p12.1	20	16760180	OTOR	OTOR			ENSG00000125879			rs4491792-?	rs4491792	0	4491792	intron_variant	0	NR	4E-6	5.3979400086720375	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	8q24.22	8	133258305	NDRG1	NDRG1			ENSG00000104419			rs2272651-?	rs2272651	0	2272651	intron_variant	0	NR	3E-6	5.522878745280337	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	9q22.33	9	98490944	GABBR2	GABBR2			ENSG00000136928			rs2779551-?	rs2779551	0	2779551	intron_variant	0	NR	2E-6	5.698970004336019	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	4q32.3	4	165951384	TLL1	TLL1			ENSG00000038295			rs6812849-?	rs6812849	0	6812849	intron_variant	0	NR	1E-7	7.0	(Whole cohort; EA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	8q24.21	8	129946705	FAM49B	CYRIB			ENSG00000153310			rs16904179-?	rs16904179	0	16904179	intron_variant	0	NR	7E-7	6.154901959985743	(Whole cohort; AA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	2p13.1	2	74236439	SLC4A5	SLC4A5			ENSG00000188687			rs13006863-?	rs13006863	0	13006863	intron_variant	0	NR	3E-6	5.522878745280337	(Whole cohort; AA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	3q26.32	3	179064233	ZMAT3	ZMAT3			ENSG00000172667			rs4955793-?	rs4955793	0	4955793	intron_variant	0	NR	2E-6	5.698970004336019	(Whole cohort; AA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2013-11-14	23726511	Xie P	2013-05-28	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23726511	Genome-wide association study identifies new susceptibility loci for posttraumatic stress disorder.	Post-traumatic stress disorder (asjusted for relatedness)	up to 308 European ancestry cases, up to 1,538 European ancestry controls, up to 456 African American cases, up to 2,936 African American controls	NA	17q24.2	17	66451047	PRKCA	PRKCA			ENSG00000154229			rs7207499-?	rs7207499	0	7207499	intron_variant	0	NR	5E-6	5.301029995663981	(Whole cohort; AA)			Illumina [up to 871502]	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST002037	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	6q26	6	161713962		PRKN			ENSG00000185345			rs2315551-?	rs2315551	0	2315551	intron_variant	0	NR	2E-7	6.698970004336019		0.2941	unit increase	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	6q26	6	162318277		PRKN			ENSG00000185345			rs9458519-?	rs9458519	0	9458519	intron_variant	0	NR	3E-7	6.522878745280337		0.3013	unit decrease	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	8p23.2	8	3695151		CSMD1			ENSG00000183117			rs58910976-?	rs58910976	0	58910976	intron_variant	0	NR	1E-6	6.0		0.3129	unit increase	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	11p11.2	11	45729530		MIR7154 - LINC02690	ENSG00000276639	ENSG00000255226		37754	19924	rs2084346-?	rs2084346	0	2084346	intron_variant	1	NR	2E-6	5.698970004336019		0.2957	unit decrease	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	7q31.1	7	111734005		DOCK4			ENSG00000128512			rs1419748-?	rs1419748	0	1419748	intron_variant	0	NR	3E-6	5.522878745280337		0.2636	unit increase	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
2021-10-21	34177453	Swart PC	2021-06-10	Front Neurosci	www.ncbi.nlm.nih.gov/pubmed/34177453	A Genome-Wide Association Study and Polygenic Risk Score Analysis of Posttraumatic Stress Disorder and Metabolic Syndrome in a South African Population.	Post-traumatic stress disorder	260 South African Colored cases, 343 South African Colored controls	NA	3q25.33	3	160236844		C3orf80 - IFT80	ENSG00000180044	ENSG00000068885		8631	20142	rs6791269-?	rs6791269	0	6791269	intron_variant	1	NR	4E-6	5.3979400086720375		0.3628	unit decrease	Illumina [11927194] (imputed)	N	post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	GCST90020063	Genome-wide genotyping array
